birthYear	no	clubId	recruitName	name	nameAlpha	language	meaning
2024	1	24001	ピンクアリエスの2024	ランパディアス	Lampadias	古代ギリシャ語	本馬の星座おうし座の一等星アルデバランの古代ギリシャ名。母名より
2024	2	24002	シーズアタイガーの2024	ディノフェリス	Dinofelis	英語	中新世から更新世初期に生息していたネコ科の動物。母名より連想
2024	3	24003	シングルゲイズの2024	パルパデオ	Parpadeo	西語	まばたき、きらめき（西）。鮮烈な存在感を放つことを願って
2024	4	24004	リカビトスの2024	イシュナック	Uisneach	愛語	アイルランドの神話に登場するイシュナックの丘。母名より連想
2024	5	24005	クオウトの2024	リテラルヴァース	Literal Verse	英語	文字通りの詩句。母名より連想
2024	6	24006	プレインチャントの2024	グレイスコール	Grace Call	英語	恩恵の呼び声。幸運や恩恵に恵まれますように
2024	7	24007	フィリアプーラの2024	フィリオソラーレ	Figlio Solare	伊語	太陽の子（伊）。母名より連想
2024	8	24008	ドナウデルタの2024	ロサカニーナ	Rosa Canina	ラテン語	イヌバラ。ドナウ川が流れるルーマニアの国花。母名より連想
2024	9	24009	サンクテュエールの2024	ジョアサクリー	Joie Sacree	仏語	聖なる歓喜（仏）。父名、母名より連想
2024	10	24010	キラーグレイシスの2024	ジェニスタ	Genista	ラテン語	エニシダ。本馬の誕生日である3月30日の誕生花
2024	11	24011	ラサルダンの2024	ラガリーガ	La Garriga	西語	スペイン、カタルーニャ地方にある地名。母名より連想
2024	12	24012	ルナリアの2024	レインワルティア	Reinwardtia	ラテン語	雲南月光花。月の光のように美しい花。母名より連想
2024	13	24013	リュラの2024	ウラノグラフィア	Uranographia	ラテン語	こと座が描かれた星図。母名より連想
2024	14	24014	エスティタートの2024	ピウモッソ	Piu Mosso	伊語	もっと速く（音楽用語）。母名より連想
2024	15	24015	フォルステライトの2024	パパコレア	Papakolea	ハワイ語	ハワイにあるビーチ名。鉱物により砂が緑色をしている。母名より連想
2024	16	24016	ケイティーズハートの2024	コルシャヴィート	Kol Shavit	ヘブライ語	彗星の歌声（ヘブライ語）。額の流星より連想
2024	17	24017	クルミナルの2024	プルヴィナル	Pulvinar	ラテン語	神々の座所（ラテン語）。競馬界の頂点に座るよう願い。母名より連想
2024	18	24018	マリアライトの2024	ダイアナマリア	Diana Maria	英語	イギリスにあるフローライトの発掘で有名な鉱山の名前。母名より連想
2024	19	24019	エリスライトの2024	オーソロンビック	Orthorhombic	英語	直方晶系。結晶構造の分類の1つ。母名より連想
2024	20	24020	バウンスシャッセの2024	カーリーウィップ	Curly Whip	英語	社交ダンスのステップの1つ。母名より連想
2024	21	24021	ボージェストの2024	ボーヴァン	Beau Vent	仏語	良い風（仏）。父名、母名より連想
2024	22	24022	ターシャズスターの2024	ミラージュスター	Mirage Star	英語	幻想＋星。幻想的な星をイメージして。母名より連想
2024	23	24023	ゴールドティアの2024	カリーナネビュラ	Carina Nebula	英語	カリーナ星雲。最も明るいと言われている星雲。母名より連想
2024	24	24024	アシュリンの2024	ラディオーサ	Radiosa	伊語	輝かしい､光り輝く（伊）。輝く舞台での活躍を願って
2024	25	24025	アーズローヴァーの2024	ゴレスターン	Golestan	ペルシア語	バラの園（ペルシア語）、イランの宮殿名より。父名、母名より連想
2024	26	24026	ピュアブリーゼの2024	ピュールオンド	Pure Onde	仏語	純粋な波（仏）。母名、父名より連想
2024	27	24027	ローズノーブルの2024	エウゲニオス	Eugenios	ギリシャ語	ギリシャ語で高貴な生まれを意味する人名より。父名、母名より連想
2024	28	24028	マハーバーラタの2024	パンジュアーブ	Panj Ab	ペルシア語	５つの水(ペルシア語）。インダス川へと注ぐ５つの大河を示す
2024	29	24029	ヴァルキュリアの2024	オーディンスピア	Odin Spear	英語	北欧神話オーディンの槍。母名より連想
2024	31	24031	パドゥヴァルスの2024	ペントザリス	Pentozalis	ギリシャ語	ギリシャのクレタ島に伝わる戦士の踊り。父名、母名より連想
2024	32	24032	シーズンズギフトの2024	アプローズギフト	Applause Gift	英語	拍手喝采＋贈り物。観客から贈られる拍手喝采を願って。母名より連想
2024	33	24033	レーヴディソールの2024	エクラドリオン	Eclat de Lion	仏語	獅子の輝き（仏）。獅子の強さと気高さをイメージして。父名より連想
2024	34	24034	クレアドールの2024	レナセール	Renacer	西語	新たな始まり（西）。母名より連想
2024	35	24035	アンフィトリテの2024	マーズウェーブ	Mars Wave	英語	火星大気の波動。両親から火星の表面に点在する波紋をイメージして
2024	36	24036	クルークハイトの2024	ファインハイト	Feinheit	独語	精巧さ（独）。父名、母名より連想
2024	37	24037	ライジングクロスの2024	シエロブリジャンテ	Cielo Brillante	西語	輝く天空（西）。母名より連想
2024	38	24038	ネオフレグランスの2024	ブルージェイ	Blue Jay	英語	アオカケス。知性と勇気の象徴とされている鳥。父名より連想
2024	39	24039	レッチェバロックの2024	ジャロロッソ	Giallorosso	伊語	黄と赤（伊）。イタリア都市レッチェのシンボルカラー。母名より連想
2024	40	24040	ファシネートゼットの2024	ゼットターム	Z Term	英語	Z項。母名由来の水沢天文台のZ項より
2024	41	24041	マイティースルーの2024	ホールノート	Whole Note	英語	全音符。父名より連想。長く活躍することを願って
2024	42	24042	エルカスティージョの2024	イシュバランケ	Ixbalanque	マヤ語	マヤ神話に登場する双子の神の片方。母名より連想
2024	43	24043	ベルディーヴァの2024	ベルグラース	Belle Grace	仏語	美しい優雅さ（仏）。母名より連想
2024	44	24044	ブロンディーヴァの2024	グルドロッティン	Gull Drottinn	アイスランド語	黄金（アイスランド語）＋支配者（アイスランド語）。両親名より連想
2024	45	24045	ムーングロウの2024	エピックムーン	Epic Moon	英語	素晴らしい月。母名より連想
2024	46	24046	マラクージャの2024	リリコイ	Lilikoi	ハワイ語	パッションフルーツ（ハワイ語）。母名より連想
2024	47	24047	ヒルダズパッションの2024	レイアパショナード	Rey Apasionado	西語	情熱的な王（西）。これからの活躍をイメージして。母名より連想
2024	48	24048	マルシュロレーヌの2024	スタニスラス	Stanislas	仏語	世界遺産に登録されたロレーヌ地方にある広場のひとつ。母名より連想
2024	49	24049	ミッドナイトビズーの2024	エトワールビズー	Etoile Bisou	仏語	星からのキス（仏）。夜空に輝く星のように、見る人を魅了して欲しい
2024	50	24050	サンダードラムの2024	ランブルトーン	Rumble Tone	英語	轟音＋音色。轟く音色を想像して。母名より連想
2024	51	24051	フィニフティの2024	フィネスブレード	Finesse Blade	英語	技巧の刃。切れ味のある脚を使えることを期待して
2024	52	24052	ダイアナブライトの2024	クラフティ	Clafoutis	仏語	さくらんぼなどを散りばめたフランスの伝統菓子名。母名より連想
2024	53	24053	プルメリアスターの2024	ブレイズフォート	Blaze Fort	英語	炎の砦。燃えるような速さと揺るがぬ力の意味を込めて
2024	54	24054	イカットの2024	バティック	Batik	マレー語	インドネシアやマレーシアで作られるろうけつ染め布地。母名より連想
2024	55	24055	シンハライトの2024	ラトナジャーラ	Ratnajala	サンスクリット語	宝石の連なり（サンスクリット）。一族の繁栄と活躍を願い。母名より
2024	56	24056	リスグラシューの2024	リスグロワール	Lys Gloire	仏語	百合（仏）＋栄光（仏）。母と同じような栄光をつかむことを願って
2024	57	24057	ソーメニーウェイズの2024	マニフォールド	Manifold	英語	多彩な、数多くの。無数の可能性を願って。母名より連想
2024	58	24058	ヤングスターの2024	スターリーフライト	Starry Flight	英語	星空飛行。星々のように輝く走りを願って。父名、母名より連想
2024	59	24059	メサルティムの2024	デュアルサイン	Dual Sign	英語	二つの印。母名のメサルティムが二重星であることから連想
2024	60	24060	コハクトウの2024	バルチックアンバー	Baltic Amber	英語	世界的に有名なバルト海の琥珀。母名より連想
2024	61	24061	エレガンテレイナの2024	ガランテリア	Galanteria	西語	紳士的な振る舞い（西）。母名より連想
2024	62	24062	レシステンシアの2024	コルベータ	Corbeta	西語	高速船（西）。両親のようなスピードと力強さから連想
2024	63	24063	シャルールの2024	モンシャルム	Mon Charme	仏語	私の魅力（仏）。本馬の可愛らしい顔と母名の一部より連想
2024	64	24064	マリーナドンナの2024	ルーチェドンナ	Luce Donna	伊語	光（伊）＋女性（伊）。光り輝く淑女をイメージして。母名より連想
2024	65	24065	アドマイヤリードの2024	ストラテジスト	Strategist	英語	戦略家。最高の舞台へ導く存在となるように
2024	66	24066	コルコバードの2024	カミーノドーロ	Caminho do Ouro	ポルトガル語	金の道（ポルトガル語）。ブラジルの歴史的な街道名。両親名より連想
2024	67	24067	グリューヴァインの2024	アッサンブラージュ	Assemblage	仏語	ワイン原酒を混ぜ合わせる伝統的なワイン製造技術。母名より連想
2024	68	24068	ピースエンブレムの2024	ピースインサイト	Peace Insight	英語	平和＋洞察。平和に関する深い洞察。母名より連想
2024	69	24069	デスティノアーラの2024	エテルノアーラ	Eterno Ala	伊語	永遠（伊）＋翼（伊）。母名より連想
2024	70	24070	シーリアの2024	イモージェン	Imogen	英語	戯曲の登場人物名。芯のある女性をイメージして
2024	71	24071	レッドティーの2024	ライナールビン	Reiner Rubin	独語	純粋な紅玉（ルビー）（独）。母名より連想
2024	72	24072	クラシックリディアの2024	スイートリディア	Sweet Lydia	英語	スプレーバラの一品種名。可憐に咲き誇る姿を願って。母名より連想
2024	73	24073	サーティーンスクエアドの2024	ベイカーズダズン	Baker’s Dozen	英語	英語で十二を超える十三を指し、期待以上を表す表現。母名より
2024	74	24074	ユールフェストの2024	エレンデール	Ellendale	英語	オーストラリアにあるダイヤモンド鉱山名。父名、母名より連想
2024	75	24075	ココファンタジアの2024	コルキス	Colchis	ギリシャ語	ギリシャ神話に登場する地名。黄金の羊毛が眠る地。母系より連想
2024	76	24076	パッシングスルーの2024	カーソンスルー	Carson Slough	英語	アメリカ、ネバダ州の南部にある湧水域。父名、母名より連想
2024	77	24077	エールデュレーヴの2024	パルクデュレーヴ	Parcours du Reve	仏語	夢への道のり（仏）。母名より連想
2024	78	24078	クロワドフェールの2024	フラムルージュ	Flamme Rouge	仏語	自転車レースの残り1キロ地点に設置されるアーチ。母名より連想
2024	79	24079	バイラオーラの2024	ラスゲアード	Rasgueado	西語	フラメンコギターの奏法のひとつ。母名より連想
2024	80	24080	ブルーメンクローネの2024	クローネンリーベ	Kronenliebe	独語	王冠の愛（独）。母の王冠（クローネ）を受け継ぐことをイメージして
2024	81	24081	アルドゥエンナの2024	バヤールロック	Bayard Rock	英語	ベルギーのアルドゥエンナの森にある岩の名前。母名より連想
2024	82	24082	バーニングヒートの2024	クリムゾンヒート	Crimson Heat	英語	深紅の熱。勝利への強い情熱をイメージして。母名より連想
2024	83	24083	アディクティドの2024	クレイヴィング	Craving	英語	熱望。母名より連想
2024	84	24084	アロマドゥルセの2024	フラガンシア	Fragancia	西語	上品な香り、芳香（西）。母名より連想
2024	85	24085	カイカヨソウの2024	ヒメハッカ	Himehakka	日本語	日本固有の薄荷。美徳という花言葉を持つ。母名より連想
2024	86	24086	ジョイネヴァーランドの2024	エボンモナーク	Ebon Monarch	英語	黒の君主。父名、毛色より連想
2024	87	24087	ミスエクストラの2024	インティサール	Intisaar	アラビア語	勝利（アラビア語）。多くの勝利を目指して
2024	88	24088	ウナアラバレーラの2024	ガナドーラ	Ganadora	西語	勝者（西）。多くの勝利を願って
2024	89	24089	エンブレマータの2024	サクルサハラ	Saqr Sahara	アラビア語	砂漠の鷹（アラビア語）。父名、母名より連想
